epoch,step,train_acc,train_loss,val_acc,val_loss
0,749,,,0.10005944967269897,2.3027119636535645
0,749,0.09989555925130844,2.302496910095215,,
1,1499,,,0.10005944967269897,2.302300214767456
1,1499,0.09989555925130844,2.302091360092163,,
2,2249,,,0.10005944967269897,2.3020334243774414
2,2249,0.09992889314889908,2.3018836975097656,,
3,2999,,,0.10005944967269897,2.3018550872802734
3,2999,0.099992536008358,2.3017590045928955,,
4,3749,,,0.10005944967269897,2.3017330169677734
4,3749,0.09989555925130844,2.3016819953918457,,
5,4499,,,0.10005944967269897,2.301649808883667
5,4499,0.09989555925130844,2.3016326427459717,,
6,5249,,,0.10005944967269897,2.301590919494629
6,5249,0.09989555925130844,2.30159854888916,,
7,5999,,,0.10005944967269897,2.3015472888946533
7,5999,0.09989555925130844,2.301572322845459,,
8,6749,,,0.10005944967269897,2.301515817642212
8,6749,0.09989555925130844,2.301555633544922,,
9,7499,,,0.10005944967269897,2.3014907836914062
9,7499,0.09989555925130844,2.3015425205230713,,
